"currentDate","currentTime","point0","point1","currentSpeed","freeFlowSpeed","currentTravelTime","freeFlowTravelTime","id"
"2022-10-08","12:45:13",18.9681,73.1316,71,71,136,136,240
"2022-10-08","12:45:13",19.0237,73.1059,29,39,462,343,241
"2022-10-08","12:45:13",18.9561,73.1617,53,53,903,903,242
"2022-10-08","13:00:13",18.9859,73.1198,17,24,290,205,243
"2022-10-08","13:00:13",18.9588,73.1594,38,49,64,50,244
"2022-10-08","13:00:13",18.9926,73.0957,46,57,365,295,245
"2022-10-08","13:00:13",19.0007,73.1299,78,78,455,455,246
"2022-10-08","13:00:13",18.9748,73.1242,31,44,813,573,247
"2022-10-08","13:00:13",18.9941,73.1148,31,44,813,573,248
"2022-10-08","13:00:13",18.9632,73.1425,25,36,337,234,249
"2022-10-08","13:00:13",19.0237,73.1059,29,40,462,335,250
"2022-10-08","13:00:13",18.9681,73.1316,71,71,136,136,251
"2022-10-08","13:00:13",19.0005,73.0337,48,48,648,648,252
"2022-10-08","13:00:13",18.9832,73.1008,22,30,514,377,253
"2022-10-08","13:00:13",18.9561,73.1617,53,53,903,903,254
"2022-10-08","13:00:13",18.9831,73.0809,24,28,1532,1313,255
"2022-10-08","13:00:13",19.0269,73.0939,53,53,1107,1107,256
"2022-10-08","13:00:13",19.0316,73.1053,29,40,462,335,257
"2022-10-08","13:00:13",19.0186,73.0283,48,48,648,648,258
"2022-10-08","13:00:13",19.0438,73.0273,53,53,1107,1107,259
"2022-10-08","13:00:13",18.9662,73.126,52,61,2021,1722,260
"2022-10-08","13:00:13",18.9645,73.131,47,55,2148,1835,261
"2022-10-08","13:00:13",18.9607,73.1655,43,47,184,169,262
"2022-10-08","13:15:13",18.9748,73.1242,30,44,840,573,263
"2022-10-08","13:15:13",18.9941,73.1148,30,44,840,573,264
"2022-10-08","13:15:13",18.9859,73.1198,12,23,411,214,265
"2022-10-08","13:15:13",18.9681,73.1316,71,71,136,136,266
"2022-10-08","13:15:13",18.9632,73.1425,22,35,383,240,267
"2022-10-08","13:15:13",19.0438,73.0273,53,53,1107,1107,268
"2022-10-08","13:15:13",18.9607,73.1655,41,47,193,169,269
"2022-10-08","13:15:13",18.9832,73.1008,23,30,491,377,270
"2022-10-08","13:15:13",18.9588,73.1594,49,49,50,50,271
"2022-10-08","13:15:13",18.9561,73.1617,48,52,997,920,272
"2022-10-08","13:15:13",19.0316,73.1053,26,40,515,335,273
"2022-10-08","13:15:13",19.0005,73.0337,39,48,798,648,274
"2022-10-08","13:15:13",19.0186,73.0283,39,48,798,648,275
"2022-10-08","13:15:13",18.9831,73.0809,22,28,1671,1313,276
"2022-10-08","13:15:13",18.9926,73.0957,42,55,400,305,277
"2022-10-08","13:15:13",19.0007,73.1299,78,78,455,455,278
"2022-10-08","13:15:13",18.9662,73.126,48,61,2189,1722,279
"2022-10-08","13:15:13",19.0237,73.1059,26,40,515,335,280
"2022-10-08","13:15:13",19.0269,73.0939,53,53,1107,1107,281
"2022-10-08","13:15:13",18.9645,73.131,42,55,2404,1835,282
"2022-10-08","13:30:13",18.9588,73.1594,49,49,50,50,283
"2022-10-08","13:30:13",18.9632,73.1425,24,35,351,240,284
"2022-10-08","13:30:13",18.9681,73.1316,71,71,136,136,285
"2022-10-08","13:30:13",18.9748,73.1242,30,43,840,586,286
"2022-10-08","13:30:13",19.0007,73.1299,78,78,455,455,287
"2022-10-08","13:30:13",18.9859,73.1198,15,23,329,214,288
"2022-10-08","13:30:13",19.0237,73.1059,27,41,496,327,289
"2022-10-08","13:30:13",18.9832,73.1008,20,30,565,377,290
"2022-10-08","13:30:13",19.0186,73.0283,40,48,778,648,291
"2022-10-08","13:30:13",19.0269,73.0939,53,53,1107,1107,292
"2022-10-08","13:30:13",18.9607,73.1655,47,47,169,169,293
"2022-10-08","13:30:13",18.9645,73.131,42,55,2404,1835,294
"2022-10-08","13:30:13",18.9561,73.1617,53,53,903,903,295
"2022-10-08","13:30:13",19.0005,73.0337,40,48,778,648,296
"2022-10-08","13:30:13",18.9926,73.0957,43,56,391,300,297
"2022-10-08","13:30:13",18.9662,73.126,51,61,2060,1722,298
"2022-10-08","13:30:13",19.0438,73.0273,53,53,1107,1107,299
"2022-10-08","13:30:13",18.9941,73.1148,30,43,840,586,300
"2022-10-08","13:30:13",19.0316,73.1053,27,41,496,327,301
"2022-10-08","13:30:13",18.9831,73.0809,23,28,1599,1313,302
"2022-10-08","13:45:13",18.9748,73.1242,31,44,813,573,303
"2022-10-08","13:45:13",18.9941,73.1148,31,44,813,573,304
"2022-10-08","13:45:13",18.9926,73.0957,44,57,382,295,305
"2022-10-08","13:45:13",18.9832,73.1008,20,30,565,377,306
"2022-10-08","13:45:13",19.0007,73.1299,78,78,455,455,307
"2022-10-08","13:45:13",18.9859,73.1198,19,23,259,214,308
"2022-10-08","13:45:13",19.0005,73.0337,48,48,648,648,309
"2022-10-08","13:45:13",19.0316,73.1053,28,41,478,327,310
"2022-10-08","13:45:13",18.9607,73.1655,41,46,193,172,311
"2022-10-08","13:45:13",18.9681,73.1316,50,71,193,136,312
"2022-10-08","13:45:13",19.0269,73.0939,53,53,1107,1107,313
"2022-10-08","13:45:13",18.9588,73.1594,49,49,50,50,314
"2022-10-08","13:45:13",19.0186,73.0283,48,48,648,648,315
"2022-10-08","13:45:13",18.9831,73.0809,22,28,1671,1313,316
"2022-10-08","13:45:13",18.9662,73.126,52,61,2021,1722,317
"2022-10-08","13:45:13",18.9561,73.1617,53,53,903,903,318
"2022-10-08","13:45:13",18.9632,73.1425,25,35,337,240,319
"2022-10-08","13:45:13",18.9645,73.131,42,55,2404,1835,320
"2022-10-08","13:45:13",19.0438,73.0273,53,53,1107,1107,321
"2022-10-08","13:45:13",19.0237,73.1059,28,41,478,327,322
"2022-10-08","14:00:13",18.9632,73.1425,22,35,383,240,323
